provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;123;2;14;28123002_14_6;2024;9;30;13;T;8;T;13;T;25;T;21;T;9;T;6;T;16;T;24;T;41;T;55;T;77;T;104;T;111;T;124;T;127;T;;N;;N;;N;;N;;N;;N;;N;;N
28;127;4;7;28127004_7_8;2024;9;30;1;T;1;T;1;T;1;T;2;T;1;T;3;T;3;T;2;T;2;T;2;T;3;T;3;T;3;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;127;4;8;28127004_8_8;2024;9;30;16;T;12;T;10;T;9;T;23;T;27;T;37;T;22;T;13;T;11;T;13;T;19;T;17;T;18;T;12;T;11;T;;N;;N;;N;;N;;N;;N;;N;;N
28;127;4;10;28127004_10_49;2024;9;30;6;T;9;T;9;T;8;T;11;T;11;T;9;T;19;T;4;T;2;T;9;T;8;T;11;T;12;T;10;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N
28;127;4;12;28127004_12_8;2024;9;30;18;T;14;T;12;T;11;T;26;T;29;T;41;T;28;T;17;T;13;T;16;T;25;T;21;T;22;T;14;T;13;T;;N;;N;;N;;N;;N;;N;;N;;N
28;127;4;14;28127004_14_6;2024;9;30;66;T;73;T;76;T;76;T;57;T;51;T;44;T;56;T;73;T;87;T;97;T;101;T;111;T;113;T;124;T;128;T;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;7;28013002_7_8;2024;9;30;1;T;1;T;1;T;1;T;1;T;1;T;5;T;4;T;3;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;8;28013002_8_8;2024;9;30;5;T;5;T;6;T;7;T;8;T;10;T;21;T;12;T;7;T;6;T;7;T;7;T;6;T;6;T;5;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;10;28013002_10_49;2024;9;30;16;T;16;T;14;T;16;T;20;T;19;T;18;T;22;T;23;T;14;T;11;T;12;T;10;T;7;T;4;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;12;28013002_12_8;2024;9;30;7;T;7;T;8;T;9;T;10;T;12;T;28;T;18;T;11;T;8;T;9;T;9;T;8;T;8;T;7;T;7;T;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;14;28013002_14_6;2024;9;30;46;T;44;T;38;T;35;T;33;T;29;T;21;T;33;T;48;T;68;T;83;T;99;T;116;T;125;T;132;T;134;T;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;7;28133002_7_8;2024;9;30;1;T;1;T;1;T;1;T;1;T;2;T;3;T;;N;;N;1;T;1;T;1;T;1;T;2;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;8;28133002_8_8;2024;9;30;4;T;4;T;4;T;4;T;7;T;8;T;16;T;;N;;N;7;T;6;T;6;T;5;T;5;T;6;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;10;28133002_10_49;2024;9;30;10;T;9;T;10;T;9;T;7;T;8;T;10;T;;N;;N;32;T;22;T;17;T;17;T;13;T;14;T;12;T;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;12;28133002_12_8;2024;9;30;6;T;6;T;6;T;6;T;9;T;11;T;20;T;;N;;N;9;T;8;T;9;T;7;T;8;T;8;T;7;T;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;14;28133002_14_6;2024;9;30;55;T;53;T;52;T;50;T;48;T;49;T;45;T;;N;;N;71;T;84;T;89;T;95;T;96;T;96;T;98;T;;N;;N;;N;;N;;N;;N;;N;;N
28;134;2;7;28134002_7_8;2024;9;30;1;T;1;T;1;T;1;T;1;T;1;T;1;T;4;T;2;T;2;T;3;T;2;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;134;2;8;28134002_8_8;2024;9;30;21;T;18;T;17;T;13;T;12;T;11;T;9;T;19;T;11;T;10;T;15;T;14;T;22;T;23;T;23;T;31;T;;N;;N;;N;;N;;N;;N;;N;;N
28;134;2;10;28134002_10_49;2024;9;30;11;T;9;T;13;T;15;T;15;T;13;T;12;T;12;T;14;T;12;T;7;T;6;T;5;T;8;T;10;T;11;T;;N;;N;;N;;N;;N;;N;;N;;N
28;134;2;12;28134002_12_8;2024;9;30;23;T;20;T;19;T;15;T;14;T;13;T;11;T;25;T;15;T;12;T;19;T;18;T;27;T;27;T;27;T;35;T;;N;;N;;N;;N;;N;;N;;N;;N
28;134;2;14;28134002_14_6;2024;9;30;20;T;18;T;18;T;15;T;15;T;13;T;14;T;32;T;61;T;81;T;93;T;100;T;101;T;111;T;111;T;105;T;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;7;28014002_7_8;2024;9;30;18;T;19;T;19;T;19;T;20;T;25;T;42;T;49;T;44;T;26;T;30;T;22;T;7;T;3;T;1;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;8;28014002_8_8;2024;9;30;19;T;20;T;23;T;24;T;31;T;42;T;47;T;45;T;41;T;35;T;43;T;37;T;22;T;15;T;11;T;13;T;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;10;28014002_10_49;2024;9;30;14;T;18;T;22;T;24;T;23;T;23;T;25;T;35;T;41;T;45;T;44;T;44;T;41;T;35;T;26;T;19;T;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;12;28014002_12_8;2024;9;30;47;T;49;T;52;T;53;T;62;T;80;T;111;T;119;T;109;T;74;T;88;T;71;T;32;T;20;T;13;T;16;T;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;14;28014002_14_8;2024;9;30;44;T;37;T;36;T;29;T;21;T;9;T;5;T;13;T;23;T;38;T;51;T;69;T;92;T;109;T;120;T;121;T;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;7;28148004_7_8;2024;9;30;1;T;1;T;1;T;1;T;1;T;6;T;22;T;31;T;10;T;7;T;6;T;3;T;3;T;3;T;2;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;8;28148004_8_8;2024;9;30;25;T;21;T;14;T;20;T;31;T;37;T;44;T;42;T;25;T;21;T;22;T;19;T;18;T;19;T;18;T;15;T;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;9;28148004_9_49;2024;9;30;9;T;7;T;3;T;3;T;4;T;7;T;7;T;16;T;18;T;14;T;14;T;16;T;10;T;11;T;12;T;9;T;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;10;28148004_10_49;2024;9;30;38;T;29;T;22;T;17;T;15;T;16;T;19;T;23;T;26;T;21;T;17;T;18;T;15;T;18;T;21;T;21;T;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;12;28148004_12_8;2024;9;30;27;T;23;T;16;T;22;T;33;T;46;T;78;T;89;T;40;T;32;T;31;T;24;T;22;T;23;T;21;T;17;T;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;14;28148004_14_6;2024;9;30;24;T;27;T;29;T;23;T;10;T;4;T;2;T;11;T;36;T;53;T;71;T;93;T;99;T;101;T;106;T;112;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;1;28016001_1_38;2024;9;30;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;6;28016001_6_48;2024;9;30;0,5;T;0,5;T;0,5;T;0,4;T;0,4;T;0,5;T;0,5;T;0,5;T;0,5;T;0,5;T;0,5;T;0,5;T;0,5;T;0,5;T;0,5;T;0,5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;7;28016001_7_8;2024;9;30;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;8;28016001_8_8;2024;9;30;6;T;5;T;5;T;4;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;9;28016001_9_49;2024;9;30;4;T;5;T;6;T;5;T;6;T;6;T;5;T;5;T;5;T;4;T;2;T;1;T;1;T;2;T;2;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;10;28016001_10_49;2024;9;30;7;T;9;T;7;T;6;T;6;T;4;T;5;T;5;T;6;T;7;T;6;T;5;T;5;T;4;T;4;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
